rounded_lng,rounded_lat,City,IDX,Genus
-121.897457403772,37.2298904808286,SanJose,1,quercus
-123.153281,49.25813,Vancouver,2,acer
-78.8991056882291,42.9093951067929,Buffalo,3,prunus
-74.18138224,40.55676297,NewYork,4,acer
-118.44075622509,34.1826006521806,LosAngeles,5,ginkgo
-121.924926909999,37.336915056195,SanJose,6,robinia
-118.43979627004,34.0528081795642,LosAngeles,7,podocarpus
-73.86149944,40.68906464,NewYork,8,tilia
-118.514440144116,34.2709836607645,LosAngeles,9,persea
-73.600517,45.594876,Montreal,10,ginkgo
-104.76277314,39.78373029,Denver,11,syringa
-104.92474034,39.71342195,Denver,12,prunus
-73.628815,45.511592,Montreal,13,celtis
-73.650734,45.463878,Montreal,14,amelanchier
-74.00736675,40.73878805,NewYork,15,ginkgo
-104.97687922,39.69856211,Denver,16,tilia
-73.74701877,40.59883612,NewYork,17,styphnolobium
-83.1053383974495,40.0829613602196,Columbus,18,acer
-114.1790738,51.0557323,Calgary,19,quercus
-118.441237312276,33.9564122058714,LosAngeles,20,eucalyptus
-73.681979,45.504425,Montreal,21,acer
-118.250030551099,33.9991397836334,LosAngeles,22,eriobotrya
-80.4443773072509,43.4295574568024,Kitchener,23,fraxinus
-122.446503486875,37.7682689481267,SanFrancisco,24,eriobotrya
-121.897516921783,37.263895059933,SanJose,25,zelkova
-122.401974894942,37.7766229335303,SanFrancisco,26,syagrus
-122.353072900387,47.7021215009308,Seattle,27,catalpa
-113.438483317174,53.453672112288,Edmonton,28,ulmus
-122.330956992565,47.6879501582665,Seattle,29,prunus
-118.46039446779,34.014918334788,SantaMonica,30,ficus
-83.0141977721252,40.120944825129,Columbus,31,fraxinus
-105.288159386602,40.0173707579846,Boulder,32,acer
-73.94409677,40.77602421,NewYork,33,styphnolobium
-121.83045692393,37.3420650490781,SanJose,34,syagrus
-118.43657094479,33.9604940024143,LosAngeles,35,pinus
-77.0097700629257,38.8208227029695,WashingtonDc,36,quercus
-76.9254883688884,38.889651824076,WashingtonDc,37,celtis
-105.273641076033,40.0051086263117,Boulder,38,acer
-73.79647314,40.71134036,NewYork,39,gymnocladus
-122.876092,49.144919,Surrey,40,carpinus
-118.363687599884,34.0392992435135,LosAngeles,41,melaleuca
-96.664559209909,43.5371705413527,Buffalo,42,platanus
-83.0735206862822,40.1309557931942,Columbus,43,ulmus
-122.495486523075,37.7545706737005,SanFrancisco,44,quercus
-73.77449366,40.77997836,NewYork,45,pyrus
-83.0728970889501,40.1299013402292,Columbus,46,pyrus
-118.424089609168,33.9572352040365,LosAngeles,47,magnolia
-73.83167705,40.71691484,NewYork,48,tilia
-73.84530049,40.83338396,NewYork,49,robinia
-121.776494117122,37.2864876183588,SanJose,50,quercus
-113.458853460113,53.5122436697089,Edmonton,51,fraxinus
-105.04984377,39.77535321,Denver,52,gymnocladus
-78.8216710235045,42.8569215169468,Buffalo,53,gleditsia
-76.9367477602533,38.890725678702,WashingtonDc,54,betula
-118.4912581627,34.028718964284,SantaMonica,55,ficus
-105.28069723705,40.0617525593198,Boulder,56,pinus
-118.443424806194,34.0139798618119,LosAngeles,57,schinus
-123.15386,49.2647,Vancouver,58,syringa
-73.601896,45.55601,Montreal,59,carya
-104.93774466,39.75112575,Denver,60,platanus
-118.590911561111,34.2608004167885,LosAngeles,61,schinus
-118.37901914577,34.2789707447543,Buffalo,62,acer
-122.405922701993,37.713576916505,SanFrancisco,63,olea
-118.458892471708,34.0473276361503,LosAngeles,64,cupressus
-122.339629336539,47.5173324803117,Seattle,65,carpinus
-118.437289464789,33.9888414485118,LosAngeles,66,ficus
-122.329436470092,47.6847866676935,Seattle,67,magnolia
-96.8041946555298,43.5292527309412,SiouxFalls,68,quercus
-74.10201211,40.64522937,NewYork,69,maackia
-122.407580282,37.7479429122343,SanFrancisco,70,jacaranda
-76.9444115214087,38.8814042317152,WashingtonDc,71,magnolia
-83.1000664339659,40.0762957004061,Columbus,72,acer
-96.7972914789924,43.5061369747832,LosAngeles,73,catalpa
-118.312755400782,33.9790882666106,LosAngeles,74,callistemon
-122.385048653076,37.7412513482773,SanFrancisco,75,acacia
-96.7516799030196,43.480155561132,LosAngeles,76,ulmus
-118.437455928102,33.9877764687823,LosAngeles,77,pyrus
